index,Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Property_age,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
7060,"HDIL Dheeraj Diamond, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,990,675,2,10,1,15500000,160000,8,15660,2,2
5794,"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,610,392,1,1,1,3524000,41997.0053,22,5780,1,1
407,"Modirealty Vatvriksh, Yashwant Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,700,638,2,1,1,17700000,180000.0018,18,25290,2,2
5428,"Shraddha Heights, Andheri East, Mumbai",Ready to move,Semi Furnished,560,474,2,10,2,15000000,150000,16,26790,1,1
9313,"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,650,390,1,4,1,3800000,59999,14,5850,1,1
2694,"Poonam Sagar Complex, Mira Road East, Mumbai",Ready to move,Fully Furnished,560,330.0150241,1,15,1,7500000,74998.43105,7,13390,1,1
2508,"Omkar Ananta, Municipal Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1050,655,2,4,1,12100000,120000,31,11520,2,2
3185,"Kajupada, Sakinaka, Mumbai",Ready to move,Semi Furnished,550,434.5916518,1,15,1,12000000,12000000,12,21820,1,2
5251,"KM Narmada Mohan Apartment, Naigaon East, Mumbai",Ready to move,Unfurnished,500,247,2,5,1,3200000,64000,14,6400,1,1
7464,"Lokhandwala Fountain Heights, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Semi Furnished,1330,900,3,15,1,26000000,260000,18,19550,3,3
4945,"Sethia Green View, Motilal Nagar II, Goregaon West, Mumbai",Ready to move,Fully Furnished,600,390,2,5,1,10500000,110000,8,17500,1,1
4497,"Landmark Towers, Naigaon, Dadar East, Mumbai",Ready to move,Semi Furnished,950,750,2,10,1,30500000,300000,19,32100,2,2
325,"Srishti Pride, Industrial Area, Bhandup West, Mumbai",Ready to move,Unfurnished,1100,655,2,1,1,15000000,150000,21,13640,2,2
1363,"Lodha New Cuffe Parade, Sion, Mumbai",Ready to move,Semi Furnished,650,470,2,3,1,22500000,0,35,34620,1,1
5394,"Sheth Vasant Oasis, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,750,435,2,7,1,13300000,130000,22,17730,1,1
4973,"Milat Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,665,565,2,12,1,17000000,170000,7,25560,1,1
8936,"Srishti Mayuresh Srishti, Kokan Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,550,450,1,15,1,9800000,98000,20,17820,1,1
2341,"Gavan Pada, Mahakali Nagar, Mulund East, Mumbai",Ready to move,Unfurnished,614,584.117591,1,1,1,14200000,14200000,17,23130,2,2
1087,"Suba Zircon, Dawoolwadi, Andheri East, Mumbai",Ready to move,Fully Furnished,750,520,2,1,0,14000000,140000,11,18670,1,1
9219,"IC Colony, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,920,672.6002813,2,15,1,19000000,19000000,7,20650,2,2
5040,"Sidhivinayak Hill Ridge Apartments, Sainath Nagar, Powai, Mumbai",Ready to move,Unfurnished,1350,850,2,1,1,23500000,240000,8,17410,3,3
8206,"Parinee, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1550,930.0000386,1,1,1,27000000,27000000,22,17420,3,4
3234,"Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai",Ready to move,Unfurnished,1774,1369.151717,1,5,2,57500000,57500000,9,32410,4,3
4226,"Divya Gunjan, Bander Pakhadi, Kandivali West, Mumbai",Ready to move,Semi Furnished,750,650,2,15,1,15000000,13874407.88,7,20000,2,2
8037,"Oberoi Exquisite, Aarey Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1820,1449.870089,2,5,2,67000000,67000000,51,36810,3,3
1071,"Tridhaatu Naksahtra, Chembur, Mumbai",Ready to move,Unfurnished,1060,870.2696894,1,1,1,24000000,24000000,12,22640,2,2
8381,"KUL Court, Sen Nagar, Santacruz East, Mumbai",Ready to move,Unfurnished,1380,900,3,2,2,32000000,300000,12,23190,3,3
8433,"Wadhwa Dukes Horizon, Best Colony, Govandi, Mumbai",Ready to move,Semi Furnished,1200,1050,3,1,2,37500000,380000,16,31250,3,3
9023,"Neha Apartment, Seven Bunglow, Andheri West, Mumbai",Ready to move,Semi Furnished,500,465,2,30,1,12500000,130000,4,25000,1,1
9347,"Lokhandwala Green Hills CHS, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,525,420,2,15,1,9500000,95000,7,18090,1,1
8415,"Call Please, Dadi Sheth Wadi, Malabar Hill, Mumbai",Ready to move,Fully Furnished,1400,1984.573211,1,15,1,77600000,77600000,8,55430,3,2
6041,"Solitare, Mahim West, Mahim, Mumbai",Ready to move,Semi Furnished,850,853.7076792,1,20,0,29000000,29000000,20,34120,2,2
594,"Kanakia Miami, Mahim, Mumbai",Ready to move,Fully Furnished,980,853,2,3,2,47500000,480000,24,48470,2,2
84,"Kanakia Paris, Sant Dnyaneshwar Nagar, Bandra East, Mumbai",Ready to move,Semi Furnished,1400,1147,3,4,2,42500000,430000,20,30360,3,3
519,"Sabari Gayathri, Swastik Park, Chembur, Mumbai",Ready to move,Unfurnished,1689,1350,3,1,2,36500000,0,14,21610,3,3
7933,"N Rose Northern Heights, Shanti Nagar, Dahisar East, Mumbai",Ready to move,Unfurnished,1700,1107,3,2,1,25000000,250000,42,14710,3,3
980,"Tirupathi The Windsor, Chinchpada, Borivali East, Mumbai",Ready to move,Semi Furnished,655,413,2,3,1,9200000,92000,14,14040,1,1
1809,"Town Swaroop Marvel Gold, Panchsheel Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,558,385,2,1,1,9000000,90000,22,16130,1,1
3299,"MHADA Colony, Mulund East, Mumbai",Ready to move,Fully Furnished,2100,1400,4,21,2,31500000,310000,8,15000,4,4
8685,"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Semi Furnished,1200,1117.266737,1,7,2,46500000,46500000,13,38750,3,3
1201,"Lodha Seaview, Teen Batti, Malabar Hill, Mumbai",Ready to move,Unfurnished,3200,2335,4,2,3,225000000,2200000,22,70310,4,4
5715,"Shree Satya Sai Solitaire II, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,650,455,1,8,2,3500000,39364.35016,9,5380,1,1
4791,"Country Park II, Food Corporation Of India Warehouse, Borivali East, Mumbai",Ready to move,Unfurnished,512,425,2,18,0,12400000,120000,8,24220,1,1
8950,"Vikram Rachna Towers, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750,415,1,7,1,2800000,56000,12,3730,1,1
1237,"Rajesh Whitecity Phase 1 Wing A, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,730,468,2,1,1,12700000,120000,42,17400,1,1
640,"Parle Colony, Vile Parle East, Mumbai",Ready to move,Unfurnished,600,448.2297581,1,1,1,12500000,12500000,10,20830,1,2
1811,"Suyog Jeevan Anand, Anand Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,655,415,2,2,1,8400000,84000,20,12820,1,1
6400,"DIP MANDIR CHS, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,890,609.2363164,1,2,0,17000000,17000000,15,19100,2,2
7166,"Pinewood Apartment, Mulund West, Mumbai",Ready to move,Unfurnished,780,574,2,20,1,15500000,160000,8,19870,2,2
1707,"Uniquepoonam Sky City, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,610,410,1,1,1,3000000,60000,23,4920,1,1
476,"I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1250,920,3,1,1,25700000,0,22,20560,3,3
1949,"Dhariwal Swami Vivekanand CHS, Tilak Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,550,465,2,1,1,13800000,140000,23,25090,1,1
9073,"Panch rasta, P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,880,700.6454434,1,2,2,16000000,16000000,8,18180,2,2
7523,"Sheth Enclave 6th To 10th Floor, Amrut Nagar, Ghatkopar West, Mumbai",Ready to move,Unfurnished,1550,1150,3,6,2,30000000,300000,10,19350,3,3
3640,"Oberoi sky heights , Lokhandwala Complex, Andheri West, Mumbai",Ready to move,Unfurnished,2871,3349.976617,4,20,2,165000000,165000000,40,57470,4,4
412,"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",Ready to move,Fully Furnished,720,500,2,1,1,16800000,170000,23,23330,2,2
4918,"Chauhan Galaxy, Beverly Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,670,698.8056438,3,2,1,5861000,0,7,8750,1,2
6856,"Sadguru Sky Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,980,650,2,8,1,5500000,8071.217911,9,5610,2,2
9471,"Bolinj, Virar West, Mumbai",Ready to move,Semi Furnished,610,399.9357935,1,10,1,2600000,50000,3,4260,1,1
2013,"Sapphire, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,450,394,2,1,1,9000000,0,21,20000,1,1
1757,"Laxmi Avenue D Global City, Agashi, Virar West, Mumbai",Ready to move,Unfurnished,620,415,2,2,1,3150000,0,7,5080,1,1
2081,"Ajmera Treon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1150,1000,2,5,1,31000000,310000,34,26960,2,2
9130,"Sea Breeze CHS, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,540,433.8508114,1,20,0,12500000,12500000,6,23150,2,2
1723,"Rashmi Classic, Yashvant Viva TownShip, Nalasopara East, Mumbai",Ready to move,Semi Furnished,600,400,1,4,1,2944000,42392.67464,7,4910,1,1
6683,"Piramal Revanta, Mulund Colony, Mulund West, Mumbai",Ready to move,Unfurnished,844,768,2,2,1,21000000,210000,40,24880,2,2
5980,"Landmark Towers, Gautam Nagar, Dadar East, Mumbai",Ready to move,Semi Furnished,950,800,2,10,4,33800000,33358515.03,25,35610,2,2
306,"Mittal Aristo, Parel, Mumbai",Ready to move,Semi Furnished,1850,1350,4,3,1,48000000,450000,15,25950,3,3
2546,"Swaminarayan Dham, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,616,516,2,1,1,11100000,0,12,18020,2,2
6893,"MICL Aradhya D And E Tower, Mahajan Wadi, Mira Road East, Mumbai",Ready to move,Unfurnished,756,630,2,1,1,12000000,353650.3698,30,15870,2,2
8139,"Good Shepherd Residency, Mitha Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1350,900,3,1,2,23000000,230000,21,17040,3,3
7836,"Oberoi woods, Yashodham, Goregaon East, Mumbai",Ready to move,Semi Furnished,1200,1391.643594,1,10,1,40500000,40500000,35,33750,3,2
3124,"SR Surya Kirti Heights, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750,430,2,8,1,2850000,57000,15,3800,1,1
4840,"Lokhandwala Whispering Palms Exclusive, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Unfurnished,650,450,2,12,1,12500000,130000,21,19230,1,1
5268,"Thakur Vishnu Shivam Tower, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1250,870,2,10,1,25000000,250000,29,20000,2,2
9284,"Mahavir KD Hermitage B No 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,1100,720,2,2,1,9127000,200000,12,8300,2,2
8220,"Maker tower H, Cuffe Parade, Mumbai",Ready to move,Fully Furnished,1800,1927.588393,1,40,1,130000000,130000000,23,72220,4,3
4403,"Marol, Andheri East, Mumbai",Ready to move,Unfurnished,567,432,2,19,1,9600000,96000.00435,7,16930,1,1
93,"Maxima Building, Jogeshwari East, Mumbai",Ready to move,Unfurnished,1965,1371.116864,1,2,2,57600000,57600000,32,29310,3,3
2405,"siddhivinayak grandeur , Kamgar Nagar, Prabhadevi, Mumbai",Ready to move,Semi Furnished,1050,946.5580998,1,2,1,42000000,42000000,22,40000,2,2
3813,"vardhman nagar palghar, Haranwali, Palghar, Mumbai",Ready to move,Semi Furnished,630,380.000002,2,5,1,1800000,7.40E-05,4,2860,1,1
4336,"K Raheja Vistas, Panchkutir Ganesh Nagar, Powai, Mumbai",Ready to move,Unfurnished,975,675,2,8,1,21800000,220000,20,22360,2,2
8244,"RTO Colony, Mumbai Central, Mumbai",Ready to move,Fully Furnished,2580,1750,6,8,6,100000000,1000000,35,38760,5,5
2514,"Haware Tilak Nagar Shree Sainath CHS Ltd, Shastri Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,750,698,2,3,3,18000000,17849495.55,20,24000,2,2
1251,"Huges 49 Elina, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,580,475,2,3,1,12500000,130000,14,21550,1,1
6622,"GOOD SOCIETY, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,700,530.0024776,1,4,2,18500000,18500000,12,26430,2,2
3920,"Neelyog Aashiyana I, Sector 6 Charkop, Kandivali West, Mumbai",Ready to move,Fully Furnished,600,430,2,7,1,11000000,110000,19,18330,1,1
1067,"Sheth Vasant Oasis Zinnia Bldg 17, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,900,700,2,2,1,22500000,230000,22,25000,2,2
9379,"Sheth Beaumonte Tower B Phase 1 Building No 10, Sion East, Sion, Mumbai",Ready to move,Semi Furnished,1350,1270,2,3,2,60000000,600000,40,44440,3,3
8456,"BREDCO Viceroy Park, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1350,1100,3,15,1,33000000,400000,21,24440,3,3
6360,"KM Horizon Flora, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,700,550,2,6,2,5600000,56000,19,8000,2,2
3713,"Rustomjee Crown Phase 2, Prabhadevi, Mumbai",Ready to move,Unfurnished,2403,1717,5,1,2,129900000,1300000,60,54060,4,4
5552,"Tanvi Eminence Phase 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,700,450,2,7,0,7000000,138101.4099,15,10000,1,1
1906,"Ashar Maple, Ghati Pada, Mulund West, Mumbai",Ready to move,Semi Furnished,600,466,2,1,2,10500000,110000,31,17500,1,1
8730,"Matunga , Matunga East, Mumbai",Ready to move,Semi Furnished,1650,1358.05334,3,1,2,65000000,65000000,23,39390,3,2
1392,"Star Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,660,407.3349065,2,1,1,3000000,0,12,4540,1,1
7504,"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Unfurnished,1100,1382.196833,1,5,2,55000000,55000000,12,50000,3,3
680,"Kolte Patil Verve, Bangur Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,1240,1033,3,1,2,35000000,20669567.9,16,28230,3,3
391,"Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,557,407.1003298,1,2,0,11500000,11500000,7,20650,1,2
9004,"Lodha Marquise, Siddharth Nagar, Worli, Mumbai",Ready to move,Semi Furnished,1600,1275,4,5,2,72000000,720000,72,45000,3,3
4334,"Greenwood Apartment, Gundavali, Andheri East, Mumbai",Ready to move,Semi Furnished,1140,750,2,16,1,24000000,240000,9,21050,2,2
8043,"CALL FOR NAME, Hill Road Nagar, Kurla East, Mumbai",Ready to move,Fully Furnished,1550,1189.817433,1,20,1,59900000,59900000,5,38650,3,3
1951,"Khatri Malad west , Mamletdar Wadi, Malad West, Mumbai",Ready to move,Unfurnished,500,407.4973483,1,2,1,8400000,98247.18415,7,16800,1,2
1058,"Rajlaxmi Residency, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1050,765,2,4,1,22100000,219999.9925,7,21050,2,2
2878,"Deep Pride A To E Wing, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Unfurnished,590,380.5852035,2,7,1,3200000,63878.34829,7,5420,1,1
1593,"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,610,392,2,1,1,3278000,68531.27594,22,5370,1,1
4602,"Khar, Khar West, Mumbai",Ready to move,Fully Furnished,950,1073.700747,1,10,1,52000000,52000000,15,54740,2,2
8449,"Gorai 1, Borivali West, Mumbai",Ready to move,Fully Furnished,1050,630.0833881,1,5,0,8900000,0,5.002829932,8480,3,4
5195,"Lodha World One, Lower Parel, Mumbai",Ready to move,Semi Furnished,2600,1900,4,15,2,97500000,980000,73,37500,3,3
5648,"New Mhada Complex, Srishti Complex, Mira Road East, Mumbai",Ready to move,Unfurnished,550,333,2,8,2,4800000,90000,18,8730,1,1
6284,"Earth Vintage, Babasaheb Ambedkar Nagar, Dadar West, Mumbai",Ready to move,Semi Furnished,675,675,3,8,1,35000000,350000,32,51850,2,2
7,"Runwal Bliss Wing B, Kanjurmarg East, Mumbai",Ready to move,Semi Furnished,1150,723,2,1,1,21000000,210000,50,18260,2,2
380,"Sahakar Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,928,673.4007026,1,1,1,16900000,16900000,16,18210,2,2
4126,"Lodha Bellissimo, Adarsh Nagar, Lower Parel, Mumbai",Ready to move,Semi Furnished,2400,2100,3,10,2,72000000,720000,48,30000,3,3
4884,"Krypton Towers, Century Bazaar, Prabhadevi, Mumbai",Ready to move,Fully Furnished,1700,1250,3,10,1,63000000,0,24,37060,3,3
8775,"Kalpataru Horizon, BDD Chawls Worli, Worli, Mumbai",Ready to move,Semi Furnished,1600,1623.962663,1,12,2,96100000,95987508.97,30,60060,3,3
2139,"Jankalyan Nagar, Malad West, Mumbai",Ready to move,Unfurnished,300,180,2,10,0,3320000,31998,7,11070,1,1
9066,"silverline apartment, J B Nagar, Andheri East, Mumbai",Ready to move,Unfurnished,480,432.7495979,1,23,1,13000000,13000000,6,27080,1,2
4891,"Joy Homes Complex, Valmik Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,750,460,2,15,1,11500000,110000,15,15330,1,1
5118,"Lodha New Cuffe Parade, Sion, Mumbai",Ready to move,Semi Furnished,2208,1472,3,5,2,53500000,530000,40,24230,3,3
2826,"Gangotri CHS, Pestom Sagar Colony, Chembur, Mumbai",Ready to move,Unfurnished,450,325,2,7,1,8500000,85000,12,18890,1,1
5313,"Mother Dairy Road, Nehru Nagar, Kurla East, Mumbai",Ready to move,Semi Furnished,725,513.9998849,1,1,1,12000000,12000000,18,16550,1,2
7158,"Acropolis, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,950,635,2,4,1,4500000,2439.665081,15,4740,2,2
7517,"Royal Palms Lake View, Aarey Colony, Goregaon East, Mumbai",Ready to move,Unfurnished,1660,1300,3,9,1,15000000,150000,12,9040,3,3
5276,"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,850,547,1,1,1,5370000,156503.8029,22,6320,2,2
9038,"Vini Heights Phase 1, Lakshmiben Chedda Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,600,520,2,12,3,4200000,19275.1419,7,7000,2,2
1850,"DGS Sheetal Sejal, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,595,380,1,2,1,3000000,60000,15,5040,1,1
3190,"Archi Atharva Heights , Vasai East Salt Plant, Vasai East, Mumbai",Ready to move,Semi Furnished,580,400,2,12,1,3500000,42900.00743,7,6030,1,1
3351,"Lalit Castle Peak, Sindhi Society, Chembur, Mumbai",Ready to move,Semi Furnished,2100,2080,4,3,4,47500000,416524.1592,12,22620,4,4
853,"Khaira, Boisar, Mumbai",Ready to move,Unfurnished,455,287,1,3,2,1500000,0,5.96873294,3300,1,1
2177,"K Raheja Vistas, Sainath Nagar, Powai, Mumbai",Ready to move,Semi Furnished,1550,1090,2,7,1,37500000,380000,20,24190,3,3
1728,"Basudeo Arked, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,685,425,2,3,1,5900000,0,10,8610,1,1
1720,"Shree Ramdev Heights, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,730,475,2,1,1,5950000,0,23,8150,1,1
449,"Oberoi Sky City Tower E, Food Corporation Of India Warehouse, Borivali East, Mumbai",Ready to move,Unfurnished,1800,1132,3,1,2,44500000,500000,61,24720,3,3
8423,"Thakur Village, Kandivali East, Mumbai",Ready to move,Fully Furnished,1100,990,3,15,1,26000000,260000,15,23640,3,3
329,"Lodha New Cuffe Parade, Sion, Mumbai",Ready to move,Semi Furnished,1540,1323,3,4,1,55000000,0,40,35710,3,3
